日文名,英文名,跳轉,評分
酒・肴 おまた,Sakesakanaomata,https://tabelog.com/tw/tokyo/A1305/A130501/13017031/,3.75
中華香彩JASMINE,Chuukakousaijasumin,https://tabelog.com/tw/tokyo/A1303/A130302/13123634/,3.75
レフェクトワール,REFECTOIRE,https://tabelog.com/tw/tokyo/A1306/A130601/13149666/,3.75
南青山エッセンス,minamiaoyamaessensu,https://tabelog.com/tw/tokyo/A1306/A130602/13039870/,3.75
カッフェ・クラシカ,Caffe Classica,https://tabelog.com/tw/tokyo/A1314/A131403/13019698/,3.75
佐賀牛 季楽 銀座 ,Kira Ginza,https://tabelog.com/tw/tokyo/A1301/A130101/13020504/,3.75
ジランドール,Jirandoru,https://tabelog.com/tw/tokyo/A1304/A130401/13004205/,3.75
ヘンリーズ バーガー 代官山,HENRY'S BURGER Daikanyama,https://tabelog.com/tw/tokyo/A1303/A130303/13190156/,3.75
龍の子,Ryuunoko,https://tabelog.com/tw/tokyo/A1306/A130601/13001219/,3.75
パルテノペ 広尾店,Parutenope,https://tabelog.com/tw/tokyo/A1307/A130703/13005525/,3.75
ル・グルニエ・ア・パン,Rugurunieapan,https://tabelog.com/tw/tokyo/A1308/A130803/13011374/,3.75
メゾン・イチ 代官山,MAISON ICHI,https://tabelog.com/tw/tokyo/A1303/A130303/13099140/,3.75
めだかタンタン,Medakatantan,https://tabelog.com/tw/tokyo/A1329/A132902/13172508/,3.75
ブーランジェリー&カフェ マンマーノ,Boulangerie et Cafe Main Mano,https://tabelog.com/tw/tokyo/A1318/A131811/13059417/,3.75
賛否両論,Sampiryouron,https://tabelog.com/tw/tokyo/A1307/A130703/13001542/,3.75
登龍 麻布店,Touryuu,https://tabelog.com/tw/tokyo/A1307/A130702/13001659/,3.75
梅むら,Umemura,https://tabelog.com/tw/tokyo/A1311/A131102/13008698/,3.75
パン工房 ブランジェリーケン,BOULANGERIE KEN,https://tabelog.com/tw/tokyo/A1322/A132204/13046260/,3.75
パンチマハル,Panchimaharu,https://tabelog.com/tw/tokyo/A1310/A131003/13026681/,3.75
ぎたろう軍鶏 炭火焼鳥 たかはし,Gitaroushamosumibiyakitoritakahashi,https://tabelog.com/tw/tokyo/A1316/A131603/13020372/,3.75
ヴァンピックル 丸の内,Vinpicoeur,https://tabelog.com/tw/tokyo/A1301/A130102/13005654/,3.75
地鶏屋,Jidoriya,https://tabelog.com/tw/tokyo/A1301/A130103/13014241/,3.75
パティスリー レザネフォール 恵比寿本店,Patisserie Les Annees Folles,https://tabelog.com/tw/tokyo/A1303/A130302/13149501/,3.75
吉野鮨本店,Yoshinosushihonten,https://tabelog.com/tw/tokyo/A1302/A130202/13000511/,3.75
食堂七彩,Shokudoushichisai,https://tabelog.com/tw/tokyo/A1321/A132104/13145418/,3.75
三友,Sanyuu,https://tabelog.com/tw/tokyo/A1302/A130204/13048033/,3.75
ザ マンダリン オリエンタル グルメショップ,zamandarinorientarugurumeshoppu,https://tabelog.com/tw/tokyo/A1302/A130202/13022977/,3.75
全聚徳 新宿店,Zenshutoku,https://tabelog.com/tw/tokyo/A1304/A130401/13006835/,3.75
カネキッチン ヌードル,KaneKitchen Noodles,https://tabelog.com/tw/tokyo/A1321/A132101/13203355/,3.75
ピャチェーレ,Piacere,https://tabelog.com/tw/tokyo/A1302/A130201/13069992/,3.75
ぽん太,Ponta,https://tabelog.com/tw/tokyo/A1303/A130303/13001729/,3.75
米久本店,Yonekyuuhonten,https://tabelog.com/tw/tokyo/A1311/A131102/13003667/,3.75
八ツ目や にしむら 目黒店,Nishimura,https://tabelog.com/tw/tokyo/A1317/A131710/13018295/,3.75
フジヤ,Fujiya,https://tabelog.com/tw/tokyo/A1302/A130202/13006311/,3.75
豊田屋,Toyodaya,https://tabelog.com/tw/tokyo/A1312/A131202/13084796/,3.75
布恒更科,Nunotsunesarashina,https://tabelog.com/tw/tokyo/A1315/A131502/13003331/,3.75
ジョンティ,Gentil,https://tabelog.com/tw/tokyo/A1311/A131103/13091587/,3.75
い志い,Shibamataishii,https://tabelog.com/tw/tokyo/A1324/A132403/13098265/,3.75
メゾン・ダーニ,MAISON D'AHNI,https://tabelog.com/tw/tokyo/A1316/A131602/13183428/,3.75
アントニオ 南青山本店,Antonio,https://tabelog.com/tw/tokyo/A1306/A130602/13003490/,3.75
